USA,Database,Name,Accession,Type,Length,X.GC,Organism,id
fasta::trinity_out.Trinity.fasta:TRINITY_DN178_c3_g1_i1,-,TRINITY_DN178_c3_g1_i1,-,N,312,21.15,NA,TRINITY_DN178_c3_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN212_c3_g1_i1,-,TRINITY_DN212_c3_g1_i1,-,N,250,23.2,NA,TRINITY_DN212_c3_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN2008_c12_g1_i1,-,TRINITY_DN2008_c12_g1_i1,-,N,369,23.58,NA,TRINITY_DN2008_c12_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN2006_c11_g1_i1,-,TRINITY_DN2006_c11_g1_i1,-,N,242,23.55,NA,TRINITY_DN2006_c11_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN2126_c1_g1_i1,-,TRINITY_DN2126_c1_g1_i1,-,N,263,23.57,NA,TRINITY_DN2126_c1_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN2234_c0_g2_i1,-,TRINITY_DN2234_c0_g2_i1,-,N,204,21.08,NA,TRINITY_DN2234_c0_g2_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN2610_c10_g1_i1,-,TRINITY_DN2610_c10_g1_i1,-,N,242,22.73,NA,TRINITY_DN2610_c10_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN2801_c3_g1_i1,-,TRINITY_DN2801_c3_g1_i1,-,N,419,23.87,NA,TRINITY_DN2801_c3_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN3593_c1_g1_i1,-,TRINITY_DN3593_c1_g1_i1,-,N,226,23.45,NA,TRINITY_DN3593_c1_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN3556_c1_g2_i1,-,TRINITY_DN3556_c1_g2_i1,-,N,201,23.88,NA,TRINITY_DN3556_c1_g2_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN3627_c1_g2_i1,-,TRINITY_DN3627_c1_g2_i1,-,N,261,19.16,NA,TRINITY_DN3627_c1_g2_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN3670_c2_g1_i1,-,TRINITY_DN3670_c2_g1_i1,-,N,291,21.31,NA,TRINITY_DN3670_c2_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN3679_c0_g1_i3,-,TRINITY_DN3679_c0_g1_i3,-,N,358,22.91,NA,TRINITY_DN3679_c0_g1_i3
fasta::trinity_out.Trinity.fasta:TRINITY_DN4337_c3_g1_i1,-,TRINITY_DN4337_c3_g1_i1,-,N,317,21.45,NA,TRINITY_DN4337_c3_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN4665_c1_g1_i1,-,TRINITY_DN4665_c1_g1_i1,-,N,429,23.08,NA,TRINITY_DN4665_c1_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN5020_c1_g1_i2,-,TRINITY_DN5020_c1_g1_i2,-,N,287,22.65,NA,TRINITY_DN5020_c1_g1_i2
fasta::trinity_out.Trinity.fasta:TRINITY_DN5160_c1_g1_i1,-,TRINITY_DN5160_c1_g1_i1,-,N,296,23.65,NA,TRINITY_DN5160_c1_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN5215_c11_g1_i1,-,TRINITY_DN5215_c11_g1_i1,-,N,273,23.81,NA,TRINITY_DN5215_c11_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN5674_c2_g1_i1,-,TRINITY_DN5674_c2_g1_i1,-,N,248,23.39,NA,TRINITY_DN5674_c2_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN5995_c0_g1_i1,-,TRINITY_DN5995_c0_g1_i1,-,N,561,23.71,NA,TRINITY_DN5995_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN6226_c2_g3_i6,-,TRINITY_DN6226_c2_g3_i6,-,N,386,23.06,NA,TRINITY_DN6226_c2_g3_i6
fasta::trinity_out.Trinity.fasta:TRINITY_DN6350_c0_g3_i1,-,TRINITY_DN6350_c0_g3_i1,-,N,370,23.78,NA,TRINITY_DN6350_c0_g3_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN6733_c2_g1_i1,-,TRINITY_DN6733_c2_g1_i1,-,N,448,22.32,NA,TRINITY_DN6733_c2_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN6865_c3_g2_i1,-,TRINITY_DN6865_c3_g2_i1,-,N,214,21.96,NA,TRINITY_DN6865_c3_g2_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN7066_c4_g1_i1,-,TRINITY_DN7066_c4_g1_i1,-,N,231,21.21,NA,TRINITY_DN7066_c4_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN7418_c2_g1_i1,-,TRINITY_DN7418_c2_g1_i1,-,N,220,20,NA,TRINITY_DN7418_c2_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN7478_c2_g1_i1,-,TRINITY_DN7478_c2_g1_i1,-,N,273,19.41,NA,TRINITY_DN7478_c2_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN7546_c0_g2_i1,-,TRINITY_DN7546_c0_g2_i1,-,N,225,23.11,NA,TRINITY_DN7546_c0_g2_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN7548_c0_g2_i1,-,TRINITY_DN7548_c0_g2_i1,-,N,298,16.11,NA,TRINITY_DN7548_c0_g2_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN7960_c3_g1_i1,-,TRINITY_DN7960_c3_g1_i1,-,N,280,19.64,NA,TRINITY_DN7960_c3_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN8494_c1_g5_i1,-,TRINITY_DN8494_c1_g5_i1,-,N,327,21.71,NA,TRINITY_DN8494_c1_g5_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN8980_c5_g1_i1,-,TRINITY_DN8980_c5_g1_i1,-,N,275,23.27,NA,TRINITY_DN8980_c5_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN9610_c1_g3_i1,-,TRINITY_DN9610_c1_g3_i1,-,N,413,22.76,NA,TRINITY_DN9610_c1_g3_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN10000_c0_g1_i1,-,TRINITY_DN10000_c0_g1_i1,-,N,919,22.52,NA,TRINITY_DN10000_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN12276_c0_g1_i1,-,TRINITY_DN12276_c0_g1_i1,-,N,228,18.86,NA,TRINITY_DN12276_c0_g1_i1
